name,creator,category,format,date,endDate,location,description
Flowers for Algernon,Daniel Keyes,Book,Book,2026/06/28,2026/07/02,,"A fantastic book, in my opinion. It demonstrates, via an unrealistic operation, the realistic idea of having separate intellectual and emotional selves in each person, as well as how they can develop independently - this was beautifully portrayed by the change in narration style, down to the finest details of spelling and punctuation. It also suggests how, though many seek intellectual intelligence, emotional intelligence is perhaps more critical to being a human even if people discriminate against you. There's also a clear question of having multiple identities and how they interact with each other, highlighted really well with switching between first and third person. This book made me think about my own life and how I treat others who have different focuses and specialties than I do."
Flash Boys: A Wall Street Revolt,Michael Lewis,Book,Book,2026/06/22,2026/06/27,,"Suggested to me by a friend. This was a somewhat pessimistic description of the American stock markets, using the common investor as a victim and high-frequency trading firms as the villains. It's certainly a different outlook than I'm used to - having studied computer science, HFT firms were quite well-respected places to work at among my friends. Perhaps I'm biased coming from that, but it feels like the author only cares to villainize HFTs and never bothers to hear from their side. I'm not saying I disagree with the portrayal, but it feels incomplete to me. Otherwise, this was an interesting book and made me think about how people can be part of a bigger project without fully understanding their place in it (eg, technologists at big banks). It certainly made me think about my role at work and how much I don't understand."
The Count of Monte Cristo,Alexander Dumas,Book,Audiobook,2026/05/01,2026/06/17,,"Recommended to me by a friend, and while I was forced to read it in 9th grade, I forgot most of it. This time around, I quite enjoyed it! The writing style felt oddly French to me, and the way the author described things hypothetically (""abc, as if xyz"") was a nice way of hinting things in an obvious way to the reader while still making them seem unnoticable to the characters. The story was exciting, though it was odd how interconnected all the characters were. The theme of vengeance seems present throughout the novel until suddenly, it goes too far, and you realize the novel was about how vengeance can actually be dangerous - very thought-out. Tied to that was the idea of being God's messenger to enact suffering, though I think an less-intentional lesson in the novel was just how much you can do with lots of money. The conclusion wasn't particularly gratifying, but perhaps that's a realistic end to such a long and detailed story."
Gershwin and Bernstein,The Philadelphia Orchestra,Music,Orchestra Concert,2026/06/06,,the Kimmel Center,"Gershwin's Piano Concerto in F, Bernstein's Symphony No. 1, and West Side Story. I had trouble following the 1st movement of the piano concerto, but the 2nd and 3rd movements were jazzy and fun, exactly as I expected from Gershwin. The symphony was a bit less of what I expected - some of the string orchestration reminded me more of Shostakovich 5 than anything Bernstein I know - but it was still a passionate, complete piece."
Fan Expo,,Other,Convention,2026/05/30,2026/05/31,the Pennsylvania Convention Center,"I'd never been to a con like this before, but it was pretty exciting. Lots of people in cosplay, lots of local artists selling stuff, lots of celebrities. I don't think I was particularly interested in the anime or the comics, but it was still awesome to see everyone else having fun doing stuff that they're passionate about."
The Tale of Princess Kaguya,Studio Ghibli,Movie,Movie,2026/05/16,,,"I loved the watercolor art style in this, and it's incredible to think it was all animated like that. But the way the story ends was so depressing to watch... The message about forcing someone to be something against their nature seemed to really stick with me."
Romeo & Juliet (Prokofiev),Philadelphia Ballet,Music,Ballet,2026/05/10,,the Academy of the Arts,"Some of the group choreography in this was... weird. But other than that, it was an excellent show. I of course recognized the Dance of the Knights, but none of the rest of the music stuck with me. The individual choreography was much more beautiful to watch, and there were some humorous scenes with Mercutio. Even though we all know how Romeo and Juliet ends, it was still heartbreaking to watch."
Spirited Away,Studio Ghibli,Movie,Movie,2026/05/07,,,"Somehow, I'd never watched this even though I know and love the music from it. The movie was certainly... different than I expected for such beautiful music. Not in a bad way, but I didn't know it had such a strange plot or characters. Still, it was as much a joy to watch as I expected with its themes about independence and self-confidence, even if the story was a bit all over the place."
Project Hail Mary,Andy Weir,Book,Audiobook,2026/04/12,2026/04/25,,"I decided to read (listen to) this after watching the movie. I think the audiobook I found on Audible was narrated incredibly well, and gave a bit more of a humorous voice to the writing that I probably otherwise would've found annoying. It also explained a lot more details that I feel like the movie glossed over, but the plot between the two was pretty much exactly the same. My only real complaint about it is how some of the thinking/explanations felt too drawn-out, but maybe that's because the author wants it to be understandable for a broader audience. Overall solid."
Project Hail Mary,,Movie,Movie,2026/04/11,,AMC Fashion District,"I'm not sure why this movie got so popular all of a sudden, but I went to watch it with a friend. It was pretty good - not super complex with science, funny, and good themes about bravery and willingness to sacrifice. Some things weren't explained well (how does Rocky come back to life???) but things made sense overall."
Animal Farm,George Orwell,Book,Audiobook,2026/03/01,2026/03/15,,A very entertaining way to describe an otherwise serious topic. It was a very clear allegory (perhaps too clear?) about how power gets consolidated and people can lose their direction when blindly following a leader. But it was all described in such an absurd way that made it very fun to read.
The Merry Widow,Philadelphia Ballet,Music,Ballet,2026/03/14,,the Academy of the Arts,"My first time watching a ballet. I was utterly confused by the plot; there was no way I would've understood anything without reading the program. The music was also a bit repetitive, but the choreography and dancing was new to me. It ended up being a pleasant time - I wouldn't call it supremely exciting, but it certainly made me slightly more interested in watching ballets."
Mahler's Symphony No. 2,The Philadelphia Orchestra,Music,Orchestra Concert,2026/03/08,,the Kimmel Center,"I listen to almost no Mahler; I'd never listened to Mahler 2 before despite how famous it is. I think this concert confirmed to me that I'm a Mahler hater. Each section of the piece was incredibly impressive standalone, but in my opinion, it doesn't fit together. The phrases feel excessively drawn-out and it's really just too much sound all the time. Hell, the whole piece is too drawn-out. Why is it 80 minutes? With how many ideas there are, I think it'd make more sense as several small pieces."
Philadelphia Flower Show,,Other,Convention,2026/03/07,,the Pennsylvania Convention Center,"pretty colors! I'm not much of a flower person, but there were some pretty intricate displays that were a pleasure to look at. There was a Shakespeare built out of flowers that caught my attention."
Hilary Hahn Plays Prokofiev,The Philadelphia Orchestra; Hilary Hahn,Music,Orchestra Concert,2026/02/14,,the Kimmel Center,"Part of me still can't believe I finally got to see Hilary Hahn! She played Prokofiev Violin Concert 1, but to be honest, I didn't quite like the piece. It was pretty impressive technically, but I didn't follow any clear melodic lines. The orchestra also played Capriccio Italien and Shostakovich 6, which were more entertaining to me, as much as I hate to admit it."
A Study in Scarlet; The Sign of Four; The Hound of the Baskervilles; The Valley of Fear,Sir Arthur Conan Doyle,Book,Book,2026/02/07,2026/02/22,,"Ever since playing the Great Ace Attorney and seeing how fun their depiction of Sherlock was, I wanted to read the original novels, but never did until now. I thoroughly enjoyed it! The Ace Attorney representation of Sherlock is surprisingly accurate - the deductions, the chemist, the violinist, the excitability, and the depressive bouts. Reading the novels felt almost like playing another Ace Attorney game. I also read a few of the short stories following this, but eventually, they all started to feel the same - some crime happens, someone comes begging for help, nobody has any clue what's going on, and then Sherlock magically finds the criminal and explains everything. "
"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,Book,Book,2026/01/29,2026/02/02,,"I thought this was a pretty solid book. I liked how not everything was told chronologically, but still sensibly. The story felt well-detailed, as well as the characters. I didn't really like the writing style for describing useless hypotheticals that didn't mean anything. Money also felt totally fake, and a lot of the video game references felt really forced to me. Still, the themes surrounding the artistic process, grinding, collaborating, and taking pride in things - those resonated with me. As well as the idea of video games as an alternate, freeing reality, and how friendships can often mean more than romantic relationships."
Lunar New Year Celebration,The Philadelphia Orchestra,Music,Orchestra Concert,2026/01/28,,the Kimmel Center,"Nice to celebrate the year of the horse - my year. The Chinese music was a pleasure to listen to, including the Spring Festival Overture, which I enjoyed playing with Pops years ago. The pipa and erhu were also a novel experience to listen to. Admittedly, I didn't like the programming at the end of just tacking on Hoedown and William Tell because it's the year of the horse, but I won't complain about getting to listen to Hoedown again."
H is for Hawk,,Movie,Movie,2026/01/24,,AMC Cherry Hill,"I don't think I really understood this movie. It was a sad story about coping with the death of a father, but what did the hawk have to do with it all? People have their own coping mechanisms, but I didn't feel like this was an impactful enough thing to make a movie about."
